Date,Item_ID,Item_Name,Category,Subcategory,Unit,Current_Stock,Reorder_Level,Daily_Usage,Lead_Time,Price_per_Unit,Supplier_Name,Seasonal_Factor,Waste_Percentage,Waste_Adjustment,Inventory_To_Order
2025-06-10,1,Paneer,Veg,Dairy,kg,21.450000000000003,8.12,2.19,1,450,Supplier A,1.11,2.98,0.065262,2.4961620000000004
2025-06-10,2,Tomato,Veg,Vegetable,kg,12.84,5.34,0.95,4,40,Supplier A,0.81,3.54,0.03363,3.11163
2025-06-10,3,Onion,Veg,Vegetable,kg,22.35,4.49,4.86,4,35,Supplier A,1.23,4.96,0.24105600000000002,24.152256
2025-06-10,4,Chicken,Non-Veg,Meat,kg,8.36,3.16,3.25,3,250,Supplier C,0.9,3.06,0.09945000000000001,8.87445
2025-06-10,5,Mutton,Non-Veg,Meat,kg,12.31,6.19,1.81,3,600,Supplier A,1.07,3.09,0.05592899999999999,5.866029
2025-06-10,6,Rohu Fish,Non-Veg,Fish,kg,16.92,9.02,4.92,3,280,Supplier C,0.85,0.85,0.04182,12.587819999999999
2025-06-10,7,Eggs,Non-Veg,Poultry,pieces,23.13,6.94,4.0,2,6,Supplier B,0.87,1.52,0.0608,7.0208
2025-06-10,8,Rice,Veg,Grain,kg,15.18,3.85,3.58,1,70,Supplier C,0.92,4.17,0.149286,3.442886
2025-06-10,9,Sugar,Veg,Grocery,kg,9.99,8.29,2.26,2,50,Supplier A,1.18,2.6,0.05876,5.392359999999999
2025-06-10,10,Milk,Veg,Dairy,liter,11.47,8.9,6.0,4,50,Supplier A,1.43,4.7,0.28200000000000003,34.602000000000004
2025-06-11,1,Paneer,Veg,Dairy,kg,22.02,3.62,3.19,3,450,Supplier A,1.47,2.6,0.08294,14.15084
2025-06-11,2,Tomato,Veg,Vegetable,kg,20.51,6.78,4.3,4,40,Supplier C,1.0,1.78,0.07654,17.27654
2025-06-11,3,Onion,Veg,Vegetable,kg,10.05,8.62,2.94,1,35,Supplier B,1.1,0.08,0.002352,3.236352
2025-06-11,4,Chicken,Non-Veg,Meat,kg,11.68,3.1,2.28,3,250,Supplier B,1.31,3.53,0.08048399999999999,9.040884
2025-06-11,5,Mutton,Non-Veg,Meat,kg,10.08,5.51,3.97,1,600,Supplier C,1.4,4.57,0.18142900000000003,5.7394289999999994
2025-06-11,6,Rohu Fish,Non-Veg,Fish,kg,8.95,5.6,2.52,2,280,Supplier C,1.31,1.63,0.041075999999999994,6.643476000000001
2025-06-11,7,Eggs,Non-Veg,Poultry,pieces,17.119999999999997,6.93,8.0,3,6,Supplier A,1.3,0.6,0.048,31.248
2025-06-11,8,Rice,Veg,Grain,kg,17.34,8.4,3.92,3,70,Supplier B,1.3,0.2,0.00784,15.29584
2025-06-11,9,Sugar,Veg,Grocery,kg,12.59,4.41,1.0,4,50,Supplier C,1.02,3.18,0.0318,4.1118
2025-06-11,10,Milk,Veg,Dairy,liter,22.61,4.75,4.0,1,50,Supplier C,0.94,2.7,0.10800000000000001,3.868
2025-06-12,1,Paneer,Veg,Dairy,kg,18.72,7.86,4.74,4,450,Supplier A,1.37,4.65,0.22041000000000005,26.195610000000006
2025-06-12,2,Tomato,Veg,Vegetable,kg,21.42,8.63,3.35,4,40,Supplier A,1.42,2.08,0.06967999999999999,19.09768
2025-06-12,3,Onion,Veg,Vegetable,kg,8.79,5.49,1.96,2,35,Supplier A,0.96,0.55,0.010780000000000001,3.77398
2025-06-12,4,Chicken,Non-Veg,Meat,kg,19.69,9.03,2.42,3,250,Supplier B,1.17,0.82,0.019843999999999997,8.514044
2025-06-12,5,Mutton,Non-Veg,Meat,kg,18.07,4.89,2.68,4,600,Supplier B,1.03,4.71,0.126228,11.167828
2025-06-12,6,Rohu Fish,Non-Veg,Fish,kg,18.380000000000003,5.55,2.83,1,280,Supplier C,0.97,1.27,0.035941,2.781041
2025-06-12,7,Eggs,Non-Veg,Poultry,pieces,19.46,5.11,7.0,1,6,Supplier B,0.99,4.99,0.3493,7.2793
2025-06-12,8,Rice,Veg,Grain,kg,16.06,3.23,4.89,4,70,Supplier A,0.97,4.54,0.222006,19.195206
2025-06-12,9,Sugar,Veg,Grocery,kg,13.49,9.9,1.15,4,50,Supplier B,0.86,2.96,0.03404,3.9900399999999996
2025-06-12,10,Milk,Veg,Dairy,liter,16.560000000000002,8.1,8.0,4,50,Supplier C,1.49,2.35,0.188,47.868
2025-06-13,1,Paneer,Veg,Dairy,kg,19.54,8.59,2.29,1,450,Supplier C,0.93,1.6,0.03664,2.16634
2025-06-13,2,Tomato,Veg,Vegetable,kg,14.54,7.74,0.68,3,40,Supplier A,1.37,3.56,0.024208,2.819008
2025-06-13,3,Onion,Veg,Vegetable,kg,8.51,9.58,2.07,4,35,Supplier B,1.46,1.93,0.03995099999999999,12.128751
2025-06-13,4,Chicken,Non-Veg,Meat,kg,11.239999999999998,3.79,1.12,3,250,Supplier A,1.29,2.71,0.030352,4.364752
2025-06-13,5,Mutton,Non-Veg,Meat,kg,9.15,9.88,1.53,4,600,Supplier C,0.97,2.65,0.040545,5.976945
2025-06-13,6,Rohu Fish,Non-Veg,Fish,kg,19.380000000000003,9.3,0.92,3,280,Supplier B,1.0,0.94,0.008648,2.768648
2025-06-13,7,Eggs,Non-Veg,Poultry,pieces,18.89,9.28,3.0,4,6,Supplier B,1.42,2.02,0.0606,17.1006
2025-06-13,8,Rice,Veg,Grain,kg,23.36,8.5,4.33,4,70,Supplier B,0.81,3.03,0.13119899999999998,14.160399000000002
2025-06-13,9,Sugar,Veg,Grocery,kg,15.91,3.04,0.96,4,50,Supplier B,1.14,1.53,0.014688,4.392287999999999
2025-06-13,10,Milk,Veg,Dairy,liter,17.78,4.57,3.0,1,50,Supplier C,1.15,0.09,0.0027,3.4526999999999997
2025-06-14,1,Paneer,Veg,Dairy,kg,11.8,8.21,1.3,3,450,Supplier A,1.2,3.29,0.04277,4.722770000000001
2025-06-14,2,Tomato,Veg,Vegetable,kg,11.44,4.86,0.92,2,40,Supplier C,1.49,2.95,0.027140000000000004,2.76874
2025-06-14,3,Onion,Veg,Vegetable,kg,21.28,6.04,2.69,1,35,Supplier B,1.2,2.51,0.067519,3.2955189999999996
2025-06-14,4,Chicken,Non-Veg,Meat,kg,10.65,8.06,2.72,3,250,Supplier B,1.34,2.86,0.077792,11.012192
2025-06-14,5,Mutton,Non-Veg,Meat,kg,20.62,6.29,0.7,2,600,Supplier C,1.06,4.57,0.031990000000000005,1.51599
2025-06-14,6,Rohu Fish,Non-Veg,Fish,kg,19.49,6.0,0.57,1,280,Supplier C,1.49,2.86,0.016302,0.865602
2025-06-14,7,Eggs,Non-Veg,Poultry,pieces,13.42,5.7,4.0,3,6,Supplier A,1.14,1.34,0.0536,13.7336
2025-06-14,8,Rice,Veg,Grain,kg,13.1,8.91,2.18,3,70,Supplier A,0.87,2.85,0.062130000000000005,5.751930000000001
2025-06-14,9,Sugar,Veg,Grocery,kg,23.12,3.98,3.27,3,50,Supplier C,1.03,1.48,0.048396,10.152696
2025-06-14,10,Milk,Veg,Dairy,liter,23.46,7.92,8.0,4,50,Supplier C,1.01,2.76,0.2208,32.5408
2025-06-15,1,Paneer,Veg,Dairy,kg,11.23,7.28,2.39,4,450,Supplier B,1.15,2.56,0.06118400000000001,11.055184
2025-06-15,2,Tomato,Veg,Vegetable,kg,18.84,7.91,4.09,4,40,Supplier B,1.42,0.25,0.010225,23.241424999999996
2025-06-15,3,Onion,Veg,Vegetable,kg,14.3,6.07,0.62,3,35,Supplier B,1.13,0.18,0.001116,2.1029159999999996
2025-06-15,4,Chicken,Non-Veg,Meat,kg,12.24,7.14,2.94,2,250,Supplier C,0.83,1.25,0.03675,4.9171499999999995
2025-06-15,5,Mutton,Non-Veg,Meat,kg,14.92,5.29,1.86,4,600,Supplier C,0.95,3.85,0.07161000000000001,7.139609999999999
2025-06-15,6,Rohu Fish,Non-Veg,Fish,kg,9.58,3.36,3.3,4,280,Supplier A,1.29,2.06,0.06798,17.095979999999997
2025-06-15,7,Eggs,Non-Veg,Poultry,pieces,23.89,9.83,8.0,4,6,Supplier C,0.83,3.57,0.28559999999999997,26.845599999999997
2025-06-15,8,Rice,Veg,Grain,kg,13.79,8.21,2.29,2,70,Supplier B,1.47,0.13,0.002977,6.735576999999999
2025-06-15,9,Sugar,Veg,Grocery,kg,19.7,5.86,4.26,2,50,Supplier B,1.11,4.58,0.195108,9.652308
2025-06-15,10,Milk,Veg,Dairy,liter,21.72,7.62,6.0,1,50,Supplier C,1.16,3.19,0.1914,7.151399999999999
2025-06-16,1,Paneer,Veg,Dairy,kg,15.0,8.11,3.46,3,450,Supplier A,1.05,1.24,0.042904,10.941904
2025-06-16,2,Tomato,Veg,Vegetable,kg,9.13,3.81,3.91,1,40,Supplier C,1.02,0.47,0.018376999999999998,4.006577
2025-06-16,3,Onion,Veg,Vegetable,kg,12.54,3.12,4.91,2,35,Supplier A,1.13,2.46,0.120786,11.217386
2025-06-16,4,Chicken,Non-Veg,Meat,kg,12.79,5.79,1.28,2,250,Supplier B,1.42,4.75,0.0608,3.6959999999999997
2025-06-16,5,Mutton,Non-Veg,Meat,kg,6.9,9.53,1.67,4,600,Supplier B,1.26,4.28,0.07147600000000001,8.488276
2025-06-16,6,Rohu Fish,Non-Veg,Fish,kg,7.289999999999999,7.5,1.23,1,280,Supplier C,1.25,4.34,0.053382,1.5908820000000001
2025-06-16,7,Eggs,Non-Veg,Poultry,pieces,17.630000000000003,5.72,4.0,4,6,Supplier B,1.37,0.64,0.0256,21.945600000000002
2025-06-16,8,Rice,Veg,Grain,kg,18.58,8.74,4.19,4,70,Supplier C,0.94,4.53,0.18980700000000003,15.944207
2025-06-16,9,Sugar,Veg,Grocery,kg,7.32,3.13,0.81,3,50,Supplier A,1.04,3.09,0.025029,2.552229
2025-06-16,10,Milk,Veg,Dairy,liter,18.78,7.77,8.0,2,50,Supplier B,1.0,4.07,0.3256,16.3256
2025-06-17,1,Paneer,Veg,Dairy,kg,16.48,7.4,1.03,1,450,Supplier B,1.09,0.2,0.00206,1.12476
2025-06-17,2,Tomato,Veg,Vegetable,kg,18.07,5.96,4.85,4,40,Supplier B,1.49,4.03,0.195455,29.101454999999998
2025-06-17,3,Onion,Veg,Vegetable,kg,12.94,8.43,2.36,4,35,Supplier B,1.19,4.34,0.102424,11.336023999999998
2025-06-17,4,Chicken,Non-Veg,Meat,kg,16.77,8.18,1.57,3,250,Supplier A,1.43,0.52,0.008164,6.7434639999999995
2025-06-17,5,Mutton,Non-Veg,Meat,kg,20.17,5.24,2.77,3,600,Supplier B,0.84,0.5,0.013850000000000001,6.99425
2025-06-17,6,Rohu Fish,Non-Veg,Fish,kg,22.52,5.48,4.81,4,280,Supplier A,1.47,4.75,0.22847499999999998,28.511274999999998
2025-06-17,7,Eggs,Non-Veg,Poultry,pieces,15.4,3.58,3.0,1,6,Supplier A,1.03,1.47,0.0441,3.1340999999999997
2025-06-17,8,Rice,Veg,Grain,kg,19.82,8.54,3.53,1,70,Supplier B,1.45,0.57,0.020120999999999997,5.138620999999999
2025-06-17,9,Sugar,Veg,Grocery,kg,24.82,3.39,4.88,3,50,Supplier A,1.05,4.44,0.216672,15.588672000000003
2025-06-17,10,Milk,Veg,Dairy,liter,21.53,7.82,2.0,2,50,Supplier B,0.87,3.09,0.061799999999999994,3.5418
2025-06-18,1,Paneer,Veg,Dairy,kg,16.39,3.51,0.88,2,450,Supplier B,0.9,4.46,0.039248,1.623248
2025-06-18,2,Tomato,Veg,Vegetable,kg,11.31,7.07,2.81,1,40,Supplier C,1.37,1.85,0.05198500000000001,3.9016850000000005
2025-06-18,3,Onion,Veg,Vegetable,kg,24.55,8.27,4.76,2,35,Supplier B,1.14,3.54,0.168504,11.021303999999999
2025-06-18,4,Chicken,Non-Veg,Meat,kg,17.78,4.74,2.2,3,250,Supplier A,1.14,0.56,0.012320000000000003,7.53632
2025-06-18,5,Mutton,Non-Veg,Meat,kg,12.58,3.39,0.55,4,600,Supplier B,1.38,3.84,0.02112,3.05712
2025-06-18,6,Rohu Fish,Non-Veg,Fish,kg,19.07,4.66,3.85,1,280,Supplier C,1.0,1.87,0.071995,3.921995
